adres,postcode,type,m2,kamers,prijs,prijstype
Geullestraat 47,"3077 TR,  Rotterdam",Tussenwoning,110 m²,5 kamers,€ 249.000 k.k.,k.k.
Warmelostraat 23,"3077 RL,  Rotterdam",Tussenwoning,100 m²,4 kamers,€ 195.000 k.k.,k.k.
Pieter van Aschstraat 42 B,"3043 RJ,  Rotterdam",Bovenwoning,112 m²,5 kamers,€ 175.000 k.k.,k.k.
Prinses Julianalaan 72,"3062 DK,  Rotterdam",Hoekwoning,409 m²,9 kamers,€ 1.495.000 k.k.,k.k.
Knikbloem 14,"3068 AD,  Rotterdam",Tussenwoning,126 m²,4 kamers,€ 259.000 k.k.,k.k.
Van Langendonckstraat 22,"3076 SL,  Rotterdam",Hoekwoning,91 m²,4 kamers,€ 237.500 k.k.,k.k.
Laan van Avant-garde 189,"3059 RA,  Rotterdam",Woning,112 m²,3 kamers,€ 325.000 k.k.,k.k.
Eigelhorst 32,"3085 VE,  Rotterdam",Eengezinswoning,131 m²,5 kamers,€ 325.000 k.k.,k.k.
Rhijnauwensingel 434,"3077 VM,  Rotterdam",Tussenwoning,82 m²,4 kamers,€ 175.000 k.k.,k.k.
Laan van Avant-garde 159,"3059 RA,  Rotterdam",Tussenwoning,112 m²,4 kamers,€ 329.000 k.k.,k.k.
Overschiese Kleiweg 21,"3045 PP,  Rotterdam",Woning,108 m²,5 kamers,€ 347.500 k.k.,k.k.
Van Lieshoutstraat 18,"3078 WP,  Rotterdam",Hoekwoning,119 m²,5 kamers,€ 269.000 k.k.,k.k.
Graswinckelstraat 73,"3043 SG,  Rotterdam",Twee onder één kap,107 m²,4 kamers,€ 350.000 k.k.,k.k.
Wilhelminakade 281,"3072 AP,  Rotterdam",Appartement,145 m²,3 kamers,€ 1.025.000 k.k.,k.k.
Dordtsestraatweg 757,"3075 BH,  Rotterdam",Eengezinswoning,127 m²,6 kamers,€ 245.000 k.k.,k.k.
Kralingseweg 260,"3066 RA,  Rotterdam",Villa,250 m²,8 kamers,€ 947.500 ,
Lange Hilleweg 37 A,"3073 BH,  Rotterdam",Herenhuis,160 m²,6 kamers,€ 385.000 k.k.,k.k.
Hoge Schiehof 33,"3042 AZ,  Rotterdam",Eengezinswoning,117 m²,5 kamers,€ 325.000 k.k.,k.k.
Georg Hegelstraat 79,"3076 RE,  Rotterdam",Appartement,76 m²,3 kamers,€ 172.500 k.k.,k.k.
Molenlaan 71,"3055 EH,  Rotterdam",Herenhuis,207 m²,11 kamers,€ 950.000 k.k.,k.k.
