adres,postcode,type,m2,kamers,prijs,prijstype
Charloisse Hoofd 69 A,"3087 CA,  Rotterdam",Appartement,91 m²,4 kamers,€ 299.000 k.k.,k.k.
Oudedijkse Schiekade 108,"3043 LC,  Rotterdam",Woning,152 m²,5 kamers,€ 529.000 k.k.,k.k.
Augustinusstraat 122,"3076 NE,  Rotterdam",Appartement,65 m²,3 kamers,€ 135.000 k.k.,k.k.
Kleiweg 218 A,"3051 SM,  Rotterdam",Benedenwoning,116 m²,4 kamers,€ 350.000 k.k.,k.k.
Boezemkade 279,"3031 BB,  Rotterdam",Appartement,103 m²,4 kamers,€ 325.000 k.k.,k.k.
Plasoord 31,"3054 LJ,  Rotterdam",NA,211 m²,3 kamers,€ 2.950.000 k.k.,k.k.
Balsemkruid 12,"3068 DC,  Rotterdam",Eengezinswoning,125 m²,6 kamers,€ 220.000 k.k.,k.k.
Mendelssohnlaan 73,"3055 HJ,  Rotterdam",Studio,77 m²,3 kamers,€ 259.000 k.k.,k.k.
Delfgaauwstraat 43 B,"3037 LH,  Rotterdam",Appartement,83 m²,4 kamers,€ 269.000 k.k.,k.k.
Rochussenstraat 131 C,"3015 EJ,  Rotterdam",Appartement,112 m²,4 kamers,€ 300.000 k.k.,k.k.
Vredeman de Vriesstraat 40,"3067 ZK,  Rotterdam",Appartement,75 m²,3 kamers,€ 175.000 ,
Vosmaerstraat 1 B,"3027 KJ,  Rotterdam",Bovenwoning,135 m²,4 kamers,€ 369.000 k.k.,k.k.
Wijnbrugstraat 243,"3011 XW,  Rotterdam",Appartement,85 m²,3 kamers,€ 340.000 k.k.,k.k.
Platostraat 190,"3076 BR,  Rotterdam",Appartement,58 m²,3 kamers,€ 125.000 k.k.,k.k.
Mathenesserdijk 270 A 1,"3026 GN,  Rotterdam",Appartement,120 m²,4 kamers,€ 325.000 k.k.,k.k.
Delftweg 302,"3046 NE,  Rotterdam",Tussenwoning,54 m²,3 kamers,€ 225.000 k.k.,k.k.
Verwoldestraat 30,"3077 HR,  Rotterdam",Tussenwoning,103 m²,5 kamers,€ 221.000 k.k.,k.k.
Wijnbrugstraat 361,"3011 XW,  Rotterdam",Appartement,184 m²,4 kamers,€ 1.095.000 k.k.,k.k.
Oranjestraat 55 A,"3043 TM,  Rotterdam",Benedenwoning,75 m²,3 kamers,€ 185.000 ,
Stadhoudersweg 119 C,"3039 EE,  Rotterdam",Appartement,76 m²,3 kamers,€ 229.500 k.k.,k.k.
Goudkruid 111 D,"3068 SV,  Rotterdam",Eengezinswoning,136 m²,5 kamers,€ 340.000 k.k.,k.k.
Gordelweg 45 C,"3037 AD,  Rotterdam",Appartement,110 m²,5 kamers,€ 290.000 k.k.,k.k.
Henegouwerlaan 66 A,"3014 CD,  Rotterdam",NA,215 m²,5 kamers,€ 525.000 k.k.,k.k.
S-gravensingel 39,"3062 SC,  Rotterdam",Appartement,76 m²,3 kamers,€ 310.000 k.k.,k.k.
Noordmolenwerf 43,"3011 DC,  Rotterdam",Appartement,99 m²,4 kamers,€ 299.500 k.k.,k.k.
Witte de Withstraat 9 D,"3012 BK,  Rotterdam",Appartement,80 m²,3 kamers,€ 300.000 k.k.,k.k.
Lloydkade 823,"3024 WZ,  Rotterdam",NA,107 m²,NA,€ 495.000 k.k.,k.k.
Kapershoek 34,"3085 EE,  Rotterdam",Appartement,57 m²,2 kamers,€ 119.000 k.k.,k.k.
Atjehstraat 62 C,"3072 ZH,  Rotterdam",Appartement,71 m²,3 kamers,€ 249.500 k.k.,k.k.
Boergoensevliet 39 Aii,"3082 KH,  Rotterdam",Dubbele bovenwoning,124 m²,5 kamers,€ 187.500 k.k.,k.k.
Insulindestraat 89 Aii,"3038 JG,  Rotterdam",Dubbele bovenwoning,96 m²,4 kamers,€ 287.500 k.k.,k.k.
Rozenlaan 123 B,"3051 LP,  Rotterdam",Dubbele bovenwoning,111 m²,4 kamers,€ 274.500 k.k.,k.k.
Victorieuxstraat 136,"3089 PX,  Rotterdam",Bovenwoning,84 m²,3 kamers,€ 183.000 k.k.,k.k.
Ien Daleshof 52,"3066 KJ,  Rotterdam",Appartement,138 m²,3 kamers,€ 450.000 k.k.,k.k.
Bergweg 277 A,"3037 EM,  Rotterdam",Benedenwoning,113 m²,4 kamers,€ 365.000 k.k.,k.k.
Goudsesingel,"3011 KK,  Rotterdam",Appartement,63 m²,3 kamers,€ 275.000 k.k.,k.k.
Lange Hilleweg 398,"3073 BZ,  Rotterdam",Appartement,60 m²,2 kamers,€ 125.000 k.k.,k.k.
Adriaen van der Doeslaan 47,"3054 EB,  Rotterdam",Woning,184 m²,8 kamers,€ 550.000 k.k.,k.k.
Spangesekade 47 F,"3027 GK,  Rotterdam",Appartement,80 m²,3 kamers,€ 215.000 k.k.,k.k.
Blankershoek 23,"3085 EC,  Rotterdam",Appartement,62 m²,2 kamers,€ 125.000 k.k.,k.k.
Luzacstraat 6 A,"3038 VW,  Rotterdam",Woning,51 m²,2 kamers,€ 200.000 k.k.,k.k.
Willem van Boelrestraat 17,"3067 LM,  Rotterdam",Appartement,76 m²,3 kamers,€ 175.000 k.k.,k.k.
Spoorsingel 155,"3033 GJ,  Rotterdam",Bovenwoning,71 m²,3 kamers,€ 285.000 k.k.,k.k.
Jaersveltstraat 12b,"3082 SG,  Rotterdam",Appartement,51 m²,3 kamers,€ 135.000 k.k.,k.k.
Sluiskreek 6,"3079 CM,  Rotterdam",Tussenwoning,108 m²,5 kamers,€ 267.500 k.k.,k.k.
Dordtselaan 145 A 3,"3081 BM,  Rotterdam",Bovenwoning,90 m²,4 kamers,€ 175.000 k.k.,k.k.
Schiedamsedijk 187,"3011 EP,  Rotterdam",Appartement,90 m²,2 kamers,€ 385.000 k.k.,k.k.
Wemeldingestraat 41,"3086 JS,  Rotterdam",Eengezinswoning,122 m²,3 kamers,€ 449.500 k.k.,k.k.
Vlissingenplein 134,"3086 GZ,  Rotterdam",Appartement,82 m²,3 kamers,€ 205.000 k.k.,k.k.
Gerardus van Sillevoldtstraat 24,"3065 LG,  Rotterdam",Woning,163 m²,6 kamers,€ 600.000 k.k.,k.k.
Statenweg 3 B,"3039 HA,  Rotterdam",Appartement,65 m²,3 kamers,€ 175.000 k.k.,k.k.
A. Noordewier-reddingiuslaan 17,"3066 JA,  Rotterdam",Tussenwoning,101 m²,4 kamers,€ 295.000 k.k.,k.k.
Hoogenwaardstraat 89,"3042 HE,  Rotterdam",Hoekwoning,102 m²,5 kamers,€ 310.000 k.k.,k.k.
Wijnbrugstraat 312,"3011 XW,  Rotterdam",Appartement,104 m²,3 kamers,€ 500.000 k.k.,k.k.
Does 15,"3068 GE,  Rotterdam",Tussenwoning,102 m²,5 kamers,€ 225.000 k.k.,k.k.
Rietdijk 23,"3082 DS,  Rotterdam",Appartement,103 m²,5 kamers,€ 249.500 k.k.,k.k.
Lamsrustlaan 203,"3054 VG,  Rotterdam",Villa,312 m²,7 kamers,€ 1.645.000 ,
Voorhaven 34 A B,"3024 RN,  Rotterdam",Woning,222 m²,4 kamers,€ 799.000 k.k.,k.k.
De Savornin Lohmanlaan 46 A 02,"3038 NL,  Rotterdam",Bovenwoning,142 m²,5 kamers,€ 435.000 ,
Voermanweg 336,"3067 JW,  Rotterdam",NA,74 m²,2 kamers,€ 185.000 k.k.,k.k.
Laan van Dada 91,"3059 PR,  Rotterdam",Appartement,110 m²,3 kamers,€ 295.000 k.k.,k.k.
Voetjesstraat 90 C,"3081 HT,  Rotterdam",Appartement,95 m²,5 kamers,€ 159.500 k.k.,k.k.
Van Bassenstraat 54,"3067 XE,  Rotterdam",Eengezinswoning,95 m²,4 kamers,€ 269.500 ,
Middenhagen 13,"3078 BG,  Rotterdam",Tussenwoning,117 m²,5 kamers,€ 199.000 k.k.,k.k.
Essenburgsingel 121 Bii,"3022 EK,  Rotterdam",Bovenwoning,110 m²,4 kamers,€ 285.000 k.k.,k.k.
"Uylsingel, den 115","3066 TC,  Rotterdam",Appartement,86 m²,3 kamers,€ 247.000 k.k.,k.k.
Goudsesingel 35 D,"3031 EC,  Rotterdam",Appartement,77 m²,3 kamers,€ 259.000 k.k.,k.k.
Plein 1953 245,"3086 EM,  Rotterdam",Appartement,86 m²,3 kamers,€ 225.000 k.k.,k.k.
Schepenstraat 70 B,"3039 NL,  Rotterdam",Bovenwoning,115 m²,5 kamers,€ 325.000 k.k.,k.k.
Oranjeboomstraat 272 D,"3071 BN,  Rotterdam",Appartement,60 m²,3 kamers,€ 175.000 k.k.,k.k.
Schonebergerweg 58 B,"3023 ZM,  Rotterdam",Benedenwoning,146 m²,5 kamers,€ 445.000 k.k.,k.k.
Moerkerkestraat 4 C,"3081 RV,  Rotterdam",Appartement,75 m²,3 kamers,€ 125.000 k.k.,k.k.
Juliana van Stolberglaan 71b,"3051 CD,  Rotterdam",Bovenwoning,74 m²,3 kamers,€ 235.000 k.k.,k.k.
Zocherstraat 4 -a, Rotterdam,Woning,136 m²,5 kamers,€ 400.000 k.k.,k.k.
Jan Pettersonstraat 160,"3077 MN,  Rotterdam",Appartement,89 m²,3 kamers,€ 269.000 k.k.,k.k.
Kritostraat 56,"3076 BH,  Rotterdam",Appartement,68 m²,3 kamers,€ 165.000 k.k.,k.k.
Zaagmolenstraat 19 B,"3036 HB,  Rotterdam",Bovenwoning,148 m²,5 kamers,€ 325.000 k.k.,k.k.
Vijverweg 14,"3062 JP,  Rotterdam",Twee onder één kap,339 m²,6 kamers,€ 2.750.000 k.k.,k.k.
Snellemanstraat 27 A,"3035 WK,  Rotterdam",Benedenwoning,85 m²,3 kamers,€ 250.000 k.k.,k.k.
Jan Dammassestraat 31,"3078 HL,  Rotterdam",Appartement,68 m²,3 kamers,€ 145.000 k.k.,k.k.
Robijnstraat 32 B,"3051 VN,  Rotterdam",Appartement,70 m²,4 kamers,€ 209.500 k.k.,k.k.
Gustave Dixonstraat 44,"3065 NC,  Rotterdam",Herenhuis,187 m²,7 kamers,€ 745.000 k.k.,k.k.
Spanjaardstraat 85 A,"3025 TK,  Rotterdam",Benedenwoning,97 m²,4 kamers,€ 275.000 k.k.,k.k.
Oostmaaslaan 632,"3063 DJ,  Rotterdam",Appartement,218 m²,5 kamers,€ 725.000 k.k.,k.k.
Utrechtsestraat 13 B,"3074 TP,  Rotterdam",Dubbele bovenwoning,120 m²,4 kamers,€ 265.000 k.k.,k.k.
Blokmakersstraat 10,"3025 NH,  Rotterdam",Hoekwoning,127 m²,5 kamers,€ 400.000 k.k.,k.k.
Van Oestendestraat 17 C,"3083 MC,  Rotterdam",Appartement,55 m²,3 kamers,€ 100.000 k.k.,k.k.
Honingerdijk 17 A 2,"3063 AH,  Rotterdam",Bovenwoning,92 m²,3 kamers,€ 285.000 k.k.,k.k.
Laan van Magisch Realisme 167,"3059 VJ,  Rotterdam",Tussenwoning,141 m²,4 kamers,€ 379.000 k.k.,k.k.
Puntstraat 19,"3025 GG,  Rotterdam",Woning,152 m²,5 kamers,€ 350.000 k.k.,k.k.
Oostmaaslaan 131 B- 2,"3063 AR,  Rotterdam",Bovenwoning,82 m²,3 kamers,€ 225.000 k.k.,k.k.
Marie van Eijsden-vinkstraat 337,"3066 JB,  Rotterdam",Appartement,115 m²,4 kamers,€ 425.000 k.k.,k.k.
Brittenoord 13,"3079 KA,  Rotterdam",Appartement,76 m²,3 kamers,€ 150.000 k.k.,k.k.
Schielaan 62 B,"3043 HE,  Rotterdam",Woning,108 m²,3 kamers,€ 275.000 k.k.,k.k.
's-gravenweg 285,"3062 ZG,  Rotterdam",Vrijstaande woning,317 m²,8 kamers,€ 2.100.000 k.k.,k.k.
Ringvaartweg 176,"3065 AG,  Rotterdam",Villa,261 m²,4 kamers,€ 1.575.000 k.k.,k.k.
Brekelsveld 46,"3085 BB,  Rotterdam",Eengezinswoning,107 m²,4 kamers,€ 310.000 ,
Ertsstraat 30,"3072 AB,  Rotterdam",Tussenwoning,138 m²,7 kamers,€ 475.000 k.k.,k.k.
Noorwitsstraat 134,"3067 KT,  Rotterdam",Appartement,67 m²,3 kamers,€ 160.000 k.k.,k.k.
Hellevoetstraat 5,"3081 NN,  Rotterdam",NA,95 m²,5 kamers,€ 300.000 k.k.,k.k.
Hogenbanweg 86 C,"3028 GR,  Rotterdam",Appartement,66 m²,3 kamers,€ 130.000 k.k.,k.k.
Zuidplein 684,"3083 CX,  Rotterdam",Appartement,88 m²,4 kamers,€ 225.000 k.k.,k.k.
Zuidhoek 72 B,"3082 PM,  Rotterdam",Appartement,79 m²,4 kamers,€ 175.000 k.k.,k.k.
Koningswaard 137,"3078 AA,  Rotterdam",Appartement,94 m²,3 kamers,€ 284.500 k.k.,k.k.
Ruijsdaelstraat 29 -a- 0,"3043 PL,  Rotterdam",Tussenwoning,100 m²,5 kamers,€ 199.000 k.k.,k.k.
Amelandseplein 7 C,"3083 SB,  Rotterdam",Benedenwoning,51 m²,2 kamers,€ 125.000 k.k.,k.k.
Dijkstraat 7 B,"3061 TA,  Rotterdam",Appartement,53 m²,3 kamers,€ 209.000 k.k.,k.k.
Overschiese Kleiweg Kavel 1,"3045 LL,  Rotterdam",Vrijstaande woning,185 m²,5 kamers,€ 945.000 k.k.,k.k.
Overschiese Kleiweg Kavel 1,"3045 LL,  Rotterdam",Vrijstaande woning,185 m²,5 kamers,€ 945.000 k.k.,k.k.
Mauritsweg 30 Aiv,"3012 JS,  Rotterdam",Bovenwoning,71 m²,2 kamers,€ 250.000 k.k.,k.k.
W G Witteveenplein 96,"3071 MA,  Rotterdam",Woning,117 m²,4 kamers,€ 359.000 k.k.,k.k.
Jacques Dutilhweg 669,"3065 JH,  Rotterdam",Appartement,75 m²,3 kamers,€ 269.000 k.k.,k.k.
Lombardkade 19 B,"3031 AG,  Rotterdam",Appartement,55 m²,3 kamers,€ 200.000 k.k.,k.k.
Cor Kieboomplein 274,"3077 MK,  Rotterdam",Appartement,90 m²,3 kamers,€ 275.000 k.k.,k.k.
Heemraadssingel 72,"3021 DD,  Rotterdam",Tussenwoning,338 m²,8 kamers,€ 1.700.000 k.k.,k.k.
Raephorststraat 36, Rotterdam,Herenhuis,110 m²,6 kamers,€ 435.000 k.k.,k.k.
Beukelsweg 91 B 03,"3022 GG,  Rotterdam",Bovenwoning,100 m²,4 kamers,€ 300.000 k.k.,k.k.
Hendrik van Bontsfortstraat 29,"3067 JN,  Rotterdam",Appartement,105 m²,4 kamers,€ 194.500 k.k.,k.k.
Malvastraat 6 A,"3051 NJ,  Rotterdam",Bovenwoning,97 m²,5 kamers,€ 235.000 k.k.,k.k.
Kralingseweg 394,"3066 RC,  Rotterdam",NA,177 m²,3 kamers,€ 595.000 k.k.,k.k.
Herman Gorterstraat 3 B,"3061 SM,  Rotterdam",Bovenwoning,72 m²,4 kamers,€ 250.000 k.k.,k.k.
Klaverstraat 49,"3083 VB,  Rotterdam",Herenhuis,410 m²,7 kamers,€ 859.000 k.k.,k.k.
Lange Dijkstraat 5,"3024 SP,  Rotterdam",Tussenwoning,145 m²,5 kamers,€ 425.000 k.k.,k.k.
Dirkslandstraat 27,"3086 CG,  Rotterdam",Eengezinswoning,140 m²,5 kamers,€ 250.000 k.k.,k.k.
Tapuitstraat 42 C,"3083 WR,  Rotterdam",Appartement,56 m²,4 kamers,€ 137.500 k.k.,k.k.
Polderlaan 54 A,"3074 MG,  Rotterdam",Benedenwoning,108 m²,3 kamers,€ 240.000 k.k.,k.k.
Goudsesingel 33 B,"3031 EC,  Rotterdam",Appartement,68 m²,2 kamers,€ 225.000 k.k.,k.k.
Oldenhagen 4,"3078 BX,  Rotterdam",Benedenwoning,82 m²,4 kamers,€ 199.500 k.k.,k.k.
Claes de Vrieselaan 103 A 02,"3021 JG,  Rotterdam",Dubbele bovenwoning,145 m²,5 kamers,€ 425.000 k.k.,k.k.
Vroesenlaan 54 -a,"3039 DZ,  Rotterdam",Benedenwoning,100 m²,5 kamers,€ 320.000 k.k.,k.k.
Botersloot 521,"3011 HE,  Rotterdam",Penthouse,180 m²,4 kamers,€ 1.000.000 k.k.,k.k.
Hooidrift 91 A 1,"3023 KJ,  Rotterdam",Bovenwoning,65 m²,2 kamers,€ 235.000 k.k.,k.k.
Lamsrustlaan 53,"3054 VG,  Rotterdam",NA,145 m²,3 kamers,€ 698.000 k.k.,k.k.
Zuidplein 446,"3083 CX,  Rotterdam",Appartement,83 m²,3 kamers,€ 209.500 k.k.,k.k.
Wilbertoord 11,"3079 JN,  Rotterdam",Appartement,67 m²,3 kamers,€ 149.500 k.k.,k.k.
Strevelsweg 867,"3083 LT,  Rotterdam",Appartement,75 m²,3 kamers,€ 200.000 k.k.,k.k.
Flakkeesestraat 41 A,"3083 CB,  Rotterdam",Appartement,63 m²,3 kamers,€ 125.000 k.k.,k.k.
Goudsesingel 21 B,"3031 EB,  Rotterdam",Appartement,73 m²,3 kamers,€ 250.000 k.k.,k.k.
Bernardus Gewinstraat 5 B,"3031 SB,  Rotterdam",Appartement,66 m²,3 kamers,€ 235.000 k.k.,k.k.
Heysekade 3 Q,"3089 TE,  Rotterdam",Appartement,103 m²,3 kamers,€ 220.000 k.k.,k.k.
Quadenoord 206,"3079 XJ,  Rotterdam",Appartement,70 m²,3 kamers,€ 137.500 k.k.,k.k.
Samuel Mullerstraat 21 A,"3023 SM,  Rotterdam",Bovenwoning,112 m²,4 kamers,€ 235.000 k.k.,k.k.
Burg Meineszplein 29 A,"3022 XC,  Rotterdam",NA,152 m²,3 kamers,€ 525.000 k.k.,k.k.
Burg Meineszplein 29 B,"3022 XC,  Rotterdam",NA,143 m²,3 kamers,€ 499.000 k.k.,k.k.
C.d.tuinenburgstraat 167,"3078 GD,  Rotterdam",Eengezinswoning,95 m²,4 kamers,€ 225.000 k.k.,k.k.
Melissantstraat 188,"3086 XP,  Rotterdam",Maisonette,95 m²,4 kamers,€ 200.000 k.k.,k.k.
Pleinweg 80 B,"3083 EJ,  Rotterdam",Appartement,56 m²,2 kamers,€ 115.000 k.k.,k.k.
Theseusstraat 179,"3054 RZ,  Rotterdam",Appartement,141 m²,4 kamers,€ 575.000 k.k.,k.k.
Ijsselmondselaan 352,"3064 AW,  Rotterdam",Hoekwoning,81 m²,3 kamers,€ 195.000 k.k.,k.k.
Pleinweg 72 B,"3083 EH,  Rotterdam",Appartement,55 m²,2 kamers,€ 117.500 k.k.,k.k.
Boterdorpse Verlaat 22,"3054 XL,  Rotterdam",Vrijstaande woning,140 m²,4 kamers,€ 2.350.000 ,
Ellemare 67,"3085 JN,  Rotterdam",Appartement,60 m²,2 kamers,€ 139.500 k.k.,k.k.
Schuttersweg 121,"3034 RR,  Rotterdam",Appartement,177 m²,7 kamers,€ 640.000 k.k.,k.k.
Burgemeester van Slijpelaan 21 B,"3077 AC,  Rotterdam",Benedenwoning,82 m²,4 kamers,€ 150.000 k.k.,k.k.
Gordelweg 58 -b,"3037 AG,  Rotterdam",Appartement,56 m²,3 kamers,€ 175.000 k.k.,k.k.
Voermanweg 274,"3067 JW,  Rotterdam",Appartement,77 m²,3 kamers,€ 177.500 k.k.,k.k.
Jan Witkampstraat 15,"3065 NA,  Rotterdam",Woning,197 m²,7 kamers,€ 600.000 k.k.,k.k.
Den Hertigstraat 39 C,"3081 KB,  Rotterdam",Benedenwoning,63 m²,3 kamers,€ 125.000 k.k.,k.k.
Prins Frederik Hendrikstraat 19,"3051 EM,  Rotterdam",Eengezinswoning,184 m²,9 kamers,€ 559.000 k.k.,k.k.
Mijnsherenlaan 111 A,"3081 GJ,  Rotterdam",Appartement,60 m²,3 kamers,€ 125.000 k.k.,k.k.
Blommersdijkselaan 41,"3036 NB,  Rotterdam",Appartement,102 m²,4 kamers,€ 250.000 k.k.,k.k.
Beijerlandselaan 10 D,"3074 EJ,  Rotterdam",Appartement,95 m²,3 kamers,€ 275.000 k.k.,k.k.
Walchersestraat 21 A,"3083 ND,  Rotterdam",Appartement,64 m²,4 kamers,€ 165.000 k.k.,k.k.
Statenweg 116 A,"3039 JL,  Rotterdam",Appartement,165 m²,5 kamers,€ 399.500 k.k.,k.k.
Boy Edgarstraat 56,"3069 ZA,  Rotterdam",Appartement,66 m²,3 kamers,€ 135.000 k.k.,k.k.
Laan van Magisch Realisme 97,"3059 VJ,  Rotterdam",Eengezinswoning,142 m²,5 kamers,€ 365.000 k.k.,k.k.
Nederhorst 1,"3085 VT,  Rotterdam",Woning,170 m²,6 kamers,€ 425.000 k.k.,k.k.
Straatweg 131,"3054 AC,  Rotterdam",NA,208 m²,6 kamers,€ 1.395.000 k.k.,k.k.
Cornelis Heinricksestraat 70,"3078 HJ,  Rotterdam",Appartement,70 m²,3 kamers,€ 142.500 k.k.,k.k.
Lissabonerf 15,"3067 ZP,  Rotterdam",Eengezinswoning,81 m²,3 kamers,€ 189.500 k.k.,k.k.
Middellandplein 2 A,"3021 BR,  Rotterdam",Benedenwoning,133 m²,4 kamers,€ 475.000 k.k.,k.k.
Prins Frederikplein 219,"3071 KS,  Rotterdam",Appartement,121 m²,4 kamers,€ 450.000 k.k.,k.k.
Gravin Adelastraat 72,"3032 HA,  Rotterdam",Appartement,56 m²,2 kamers,€ 175.000 k.k.,k.k.
Pleinweg 36,"3083 EE,  Rotterdam",Bovenwoning,86 m²,5 kamers,€ 175.000 k.k.,k.k.
Augustinusstraat 55,"3076 NB,  Rotterdam",Appartement,69 m²,4 kamers,€ 149.000 k.k.,k.k.
Napelshof 22,"3067 WJ,  Rotterdam",Appartement,105 m²,5 kamers,€ 192.500 k.k.,k.k.
Hanespoordoorn 30,"3068 ML,  Rotterdam",Eengezinswoning,120 m²,5 kamers,€ 265.000 k.k.,k.k.
Cor Kieboomplein 250,"3077 MK,  Rotterdam",Appartement,87 m²,3 kamers,€ 300.000 k.k.,k.k.
Dordtselaan 175 B,"3081 BN,  Rotterdam",Appartement,60 m²,2 kamers,€ 150.000 k.k.,k.k.
Schieweg 83 Cii,"3038 AH,  Rotterdam",Bovenwoning,116 m²,6 kamers,€ 260.000 k.k.,k.k.
Mathenesserdijk 378 Bi,"3026 GT,  Rotterdam",Bovenwoning,70 m²,2 kamers,€ 159.000 k.k.,k.k.
Batavenoord 15,"3079 ZP,  Rotterdam",Appartement,55 m²,2 kamers,€ 125.000 k.k.,k.k.
Kortgenestraat 32,"3086 JK,  Rotterdam",Villa,120 m²,4 kamers,€ 575.000 k.k.,k.k.
Willem Pijperlaan 62 72,"3055 WP,  Rotterdam",Hoekwoning,207 m²,7 kamers,€ 1.000.000 k.k.,k.k.
Pieter de Hoochstraat 42 E,"3024 CS,  Rotterdam",NA,163 m²,6 kamers,€ 595.000 k.k.,k.k.
West Varkenoordseweg 135,"3047 HN,  Rotterdam",Tussenwoning,140 m²,6 kamers,€ 315.000 k.k.,k.k.
Claes de Vrieselaan 64 A 2,"3021 JS,  Rotterdam",Dubbele bovenwoning,129 m²,5 kamers,€ 400.000 k.k.,k.k.
Stoutenburg 4,"3085 XN,  Rotterdam",Eengezinswoning,100 m²,4 kamers,€ 250.000 k.k.,k.k.
Scottstraat 19,"3076 GX,  Rotterdam",Tussenwoning,77 m²,3 kamers,€ 184.500 k.k.,k.k.
Zuiderterras 67,"3083 BX,  Rotterdam",Appartement,111 m²,3 kamers,€ 175.000 k.k.,k.k.
Van Weelstraat 19,"3022 ZA,  Rotterdam",Tussenwoning,201 m²,8 kamers,€ 885.000 k.k.,k.k.
Stadhoudersplein 11 C,"3039 EM,  Rotterdam",Dubbele bovenwoning,110 m²,4 kamers,€ 289.500 k.k.,k.k.
Heinsiuslaan 1,"3051 HD,  Rotterdam",Woning,169 m²,7 kamers,€ 719.000 k.k.,k.k.
Bredenoord 9,"3079 JA,  Rotterdam",Appartement,73 m²,4 kamers,€ 139.500 k.k.,k.k.
Cleyburchstraat 33 A,"3039 DB,  Rotterdam",Appartement,54 m²,3 kamers,€ 210.000 k.k.,k.k.
Zuiderterras 115,"3083 BZ,  Rotterdam",Appartement,65 m²,2 kamers,€ 175.000 k.k.,k.k.
Schoolstraat 2,"3053 ZM,  Rotterdam",NA,81 m²,4 kamers,€ 285.000 k.k.,k.k.
Linker Rottekade 127 H,"3034 NV,  Rotterdam",Appartement,70 m²,2 kamers,€ 239.500 k.k.,k.k.
Insulindestraat 210 D,"3037 BK,  Rotterdam",Appartement,83 m²,2 kamers,€ 295.000 k.k.,k.k.
Ruivenplantsoen 12,"3036 DJ,  Rotterdam",Appartement,75 m²,3 kamers,€ 225.000 k.k.,k.k.
Alerdincksingel 81,"3077 JA,  Rotterdam",Maisonette,85 m²,4 kamers,€ 175.000 k.k.,k.k.
Den Uylsingel 69,"3066 TC,  Rotterdam",Appartement,79 m²,3 kamers,€ 225.000 k.k.,k.k.
Jan Dammassestraat 20,"3078 HL,  Rotterdam",Appartement,68 m²,3 kamers,€ 147.500 k.k.,k.k.
Veerlaan 66,"3072 ZX,  Rotterdam",Appartement,63 m²,3 kamers,€ 225.000 k.k.,k.k.
Stadhoudersweg 39 -a,"3038 EE,  Rotterdam",Appartement,73 m²,3 kamers,€ 239.000 k.k.,k.k.
Reyerdijk 13 B,"3079 NC,  Rotterdam",Appartement,85 m²,3 kamers,€ 219.500 k.k.,k.k.
Schalkeroord 126,"3079 WL,  Rotterdam",Appartement,72 m²,4 kamers,€ 135.000 k.k.,k.k.
Honingerhof 30,"3063 BZ,  Rotterdam",Appartement,107 m²,3 kamers,€ 399.500 ,
Juliana van Stolberglaan 81 B,"3051 CD,  Rotterdam",Bovenwoning,82 m²,4 kamers,€ 215.000 k.k.,k.k.
Zuidplein 434,"3083 CX,  Rotterdam",Appartement,92 m²,3 kamers,€ 200.000 k.k.,k.k.
Baroniestraat 56 B,"3051 EG,  Rotterdam",Eengezinswoning,103 m²,4 kamers,€ 275.000 k.k.,k.k.
Beijerlandsestraat 17 B,"3074 RA,  Rotterdam",Appartement,89 m²,3 kamers,€ 215.000 k.k.,k.k.
Mathenesserdijk 392 A 1,"3026 GV,  Rotterdam",Appartement,75 m²,2 kamers,€ 159.000 k.k.,k.k.
Akkeroord 5,"3079 ZS,  Rotterdam",Villa,165 m²,5 kamers,€ 625.000 k.k.,k.k.
Blondeelstraat 130,"3067 VB,  Rotterdam",Appartement,77 m²,4 kamers,€ 165.000 k.k.,k.k.
Van Wijngaardenlaan 85,"3078 JR,  Rotterdam",Appartement,64 m²,3 kamers,€ 139.500 k.k.,k.k.
Helsinkipad 29,"3067 RP,  Rotterdam",Landhuis,70 m²,2 kamers,€ 169.000 k.k.,k.k.
Laurens van Kuikstraat 14,"3059 TE,  Rotterdam",Woning,120 m²,5 kamers,€ 350.000 k.k.,k.k.
Bernardus Gewinstraat 7 B,"3031 SB,  Rotterdam",Benedenwoning,69 m²,3 kamers,€ 245.000 k.k.,k.k.
Stadhoudersweg 39 C,"3038 EE,  Rotterdam",Appartement,75 m²,3 kamers,€ 219.000 k.k.,k.k.
Godijn van Dormaalstraat 30,"3067 JH,  Rotterdam",Appartement,90 m²,3 kamers,€ 189.900 k.k.,k.k.
Walenburgerweg 32 B,"3033 AC,  Rotterdam",Dubbele bovenwoning,94 m²,3 kamers,€ 325.000 k.k.,k.k.
Eerste Pijnackerstraat 129 A,"3035 GS,  Rotterdam",Appartement,65 m²,3 kamers,€ 275.000 k.k.,k.k.
Schieweg 91 C 3,"3038 AJ,  Rotterdam",Appartement,89 m²,4 kamers,€ 220.000 k.k.,k.k.
Zevenkampse Ring 382,"3068 HG,  Rotterdam",Appartement,93 m²,3 kamers,€ 235.000 k.k.,k.k.
Gekroonde Haringpad 6 -bn,"3024 PA,  Rotterdam",Appartement,70 m²,3 kamers,€ 155.000 k.k.,k.k.
Oranje-nassaustraat 36-3 E,"3024 SR,  Rotterdam",Appartement,76 m²,4 kamers,€ 185.000 k.k.,k.k.
