PostCode,Bus,Ferry,IC,Metro,Tram,Trein
3051GL,0.002150713666470886,0.036862681337341406,0.022820963238600594,0.014492052517188903,0.002150713666470886,0.0036153733746150506
3051GM,0.0018421467175608987,0.03714366557911954,0.022588111001686877,0.013298243984625743,0.0018421467175608987,0.0045506916639807505
3051GN,9.258715677701788e-4,0.03719643056822716,0.02226424754842173,0.012418032776195327,9.258715677701788e-4,0.00523907747579567
3051GP,5.260822386287549e-4,0.037444890075216064,0.021890270936084432,0.010886923277471018,5.260822386287549e-4,0.00661003185120019
3051GR,4.5711448026912157e-4,0.03613133477398399,0.02355300210690917,0.01765165797847437,4.5711448026912157e-4,0.001975627723630812
3051GS,3.5941144812055896e-4,0.03630726895201775,0.023108833208800052,0.016353085104324993,3.5941144812055896e-4,0.0022588358751935303
3051GT,0.0012220377688805285,0.03645679862982752,0.022840946238270744,0.015454910834946817,0.0012220377688805285,0.002816238182478316
3051GV,0.0024799060546673722,0.03674086063030896,0.022481370575339357,0.014019732222086875,0.0024799060546673722,0.0038383880637570355
3051GW,0.0014228350920489135,0.03688933400792043,0.022180666288262596,0.012988199027408252,0.0014228350920489135,0.004670100326413122
3051GX,8.018135512263176e-4,0.03693588095578632,0.021972138078985758,0.012397793338345784,8.018135512263176e-4,0.005169359910993668
3051HA,9.760660703910379e-4,0.037210272134495535,0.02379035758156288,0.015866418276959594,9.760660703910379e-4,0.0032038921168792236
3051HB,0.0017738277124258236,0.0382154634791247,0.02505618358203685,0.016514993933791116,0.0017738277124258236,0.0040248156462755905
3051HC,0.0018930792600251815,0.038172752045158714,0.024586921810161397,0.015519367948389259,0.0018930792600251815,0.004171329018465388
3051HD,0.0025199131184421527,0.03760395011587089,0.02344700143617884,0.014179996672653511,0.0025199131184421527,0.00430833557808299
3051HE,0.0020354263546469844,0.03848176203394468,0.02528043277960252,0.016445721692762327,0.0020354263546469844,0.004293316920545759
3051HG,0.0022079785746976603,0.03819585379719238,0.024366506497202522,0.014946449597450217,0.0022079785746976603,0.004391742943748839
3051HH,9.04498882734307e-4,0.03720911618476459,0.024784149438753744,0.018051647919975093,9.04498882734307e-4,0.003173506479672564
3051HJ,0.001246060630054005,0.03745306195244823,0.024616399077476692,0.017174001079507343,0.001246060630054005,0.003255691852160454
3051HK,0.0010791584172570208,0.03753075717067055,0.02433048403864916,0.01636861355368335,0.0010791584172570208,0.0033737979469938223
3051HL,0.001422657852282719,0.03742379756431988,0.0237973450430197,0.015403504096418196,0.001422657852282719,0.003560596148258234
3051HM,0.0020431359069454933,0.03721744820817442,0.023239139417652738,0.014610221381966125,0.0020431359069454933,0.003806699551518328
3051HN,0.0011123149497937596,0.03749974400652577,0.025088575692641984,0.018115326969103222,0.0011123149497937596,0.0034809171363477773
3051HP,0.0019584057672988467,0.037645244854965225,0.023777282381405182,0.014849764319258472,0.0019584057672988467,0.003989900856018368
3051HR,0.0024656254527065076,0.03727563538553255,0.02296190160040318,0.013839550169663751,0.0024656254527065076,0.004268955717444248
3051HS,0.0014803551917728114,0.03787900054164843,0.02449131817539576,0.01596234824935201,0.0014803551917728114,0.0037836726618346857
3051HT,6.919428183202552e-4,0.03677227441925139,0.024181368497181718,0.017656743865591493,6.919428183202552e-4,0.0026299087036125075
3051HV,4.5258128727455703e-4,0.03689699124811176,0.023823385813988168,0.016622761706517598,4.5258128727455703e-4,0.0027265121338011225
3051HW,8.267125656104749e-4,0.03698389070729182,0.02447583519917044,0.017850554493720014,8.267125656104749e-4,0.002890203856262284
3051HX,7.120187465241605e-4,0.03712146144459892,0.02409527912341156,0.016734637808036006,7.120187465241605e-4,0.002930382891567535
3051HZ,0.001418192372213482,0.037689683890439564,0.025124171736563287,0.017798890079185004,0.001418192372213482,0.0035854042979323467
3051JA,9.364225312966541e-4,0.04090974363378959,0.025735589919113067,0.011588800055367922,0.003844671392378353,0.008184013006626812
3051JB,0.001760501754679206,0.03752826627801781,0.022881535199601444,0.013036880387938163,0.001760501754679206,0.004935379711445474
3051JC,0.0017045426053314662,0.03806864553490663,0.023251954423225522,0.012567993742903441,0.0017045426053314662,0.0055556418739986175
3051JD,0.0015242263700913055,0.039234942662599706,0.023898880850811273,0.011123805142070753,0.0020338161091785663,0.007193869820632544
3051JE,0.001218984757604538,0.04018724490658238,0.025019558265825304,0.011563901511171634,0.0031219364706995046,0.00760902622512663
3051JG,0.0017977004870072188,0.03861290581595791,0.023611418400124283,0.012054422624223205,0.0017977004870072188,0.006215237624956154
3051JH,0.002043197085452894,0.03982858623318713,0.024968789380899283,0.012399147079211187,0.0031435240224079565,0.006907275961014143
3051JJ,0.00080860968601749125,0.03769746263602876,0.022579169807583056,0.011883440022724541,0.00080860968601749125,0.0058552858043502696
3051JK,8.892773057036621e-4,0.037586451528687774,0.02255199386123831,0.012105291855610333,8.892773057036621e-4,0.005638197539653087
3051JL,5.469821240520518e-4,0.03893592822074698,0.023287711537037122,0.01031609710150482,0.0016004400536535105,0.0075870249461878975
3051JM,8.721467316981118e-4,0.040240782920460655,0.024813043521547052,0.010826668826295925,0.0030187184640768443,0.008052366923529475
3051JN,8.539963036950576e-4,0.03856604544067762,0.023029727568070528,0.010676233087333344,0.0013567793620382215,0.0071487270253586775
3051JP,7.065652825360303e-4,0.03797764162673358,0.022034090410163746,0.009770093993782205,7.065652825360303e-4,0.007714766998488934
3051JR,4.234341507198734e-4,0.037849657836409964,0.02210459528037144,0.010306681245088236,4.234341507198734e-4,0.0072099467882148225
3051JS,5.871392557464282e-4,0.037802695100400865,0.022484006199376926,0.011374019890563969,5.871392557464282e-4,0.006297197984096601
3051JT,9.461731867103783e-4,0.038173049082605603,0.022711445321514527,0.010942437310171986,9.461731867103783e-4,0.006779608253325488
3051KA,0.0030810185702350823,0.03384821848113355,0.019563321813431626,0.014621879692052968,0.0030810185702350823,0.0031748106892460965
3051KB,0.003314687680612545,0.03390118034297365,0.01851755255141251,0.012661588582209242,0.003330740672928728,0.005598055761386017
3051KC,0.0027474214998729645,0.03429013013357551,0.01754890670021857,0.010243508016829524,0.004586940558540413,0.008978442626477054
3051KD,0.0034799123345330626,0.0336506200973833,0.018248704131585265,0.012760410408248237,0.0035994213948050916,0.00568124923357475
3051KE,8.706837334638267e-4,0.038226582312469073,0.022083604660324812,0.009178393066946228,0.0012662136850895706,0.008294477562707103
3051KG,0.0016165846009797648,0.03831807725794834,0.021837857625953302,0.008267017648335493,0.0021787432172206285,0.009167997003694545
3051KH,0.00204931007025086,0.038620089674065064,0.021877221845167914,0.0074406632071547935,0.0030294844092019504,0.009994886290793177
3051KJ,0.002831667470567319,0.03901232678896234,0.02194961818472908,0.006446478071839428,0.0024446016797811487,0.011004211984372606
3051KK,0.0038949457830850073,0.03950007220099688,0.022069946582062527,0.0053079346878033154,0.001650342441019259,0.01218523058843281
3051KL,0.0012322970646532956,0.03797179931311697,0.021644098845864383,0.0088016802341331,0.0016647943663987872,0.008632472856297218
3051KM,0.0012719037759438372,0.03798473761550551,0.021728187412784202,0.008975985446098636,0.0014682456622282143,0.008461339745478701
3051LA,7.047927145674633e-4,0.037038768849285426,0.02039258140719476,0.008516425769222728,0.0027053525210503577,0.009131638739516869
3051LB,5.44355843509311e-4,0.03717173124246725,0.02063838564504793,0.008691895391003823,0.00232699318086895,0.00886780027258963
3051LC,4.659189376229964e-4,0.037206386408064646,0.020909219328823694,0.00921476964084513,0.0016171539238785668,0.008263124152256785
3051LD,0.0016351346244706292,0.03722003217232923,0.020269176330309814,0.007749160013867957,0.0026884448567525312,0.010050542109709487
3051LE,0.0015729768545572067,0.03661115878757982,0.019678102883667496,0.008203907910658809,0.0029795732571028955,0.009825825156770954
3051LG,0.0011839758051710115,0.036982458237303124,0.020166522102867217,0.008187849764840693,0.003149965155992219,0.009589112346697095
3051LH,4.987321931287492e-4,0.037200036855482274,0.02130946872807044,0.010167526063524505,4.987321931287492e-4,0.007266447844156254
3051LJ,5.97274325644237e-4,0.03688733054293981,0.020809836727039517,0.009863969529504647,0.0011573654269821756,0.007607652216677544
3051LK,2.6451815862679013e-4,0.03652795192728115,0.020214377820127017,0.009520233491159347,0.00197543056369761,0.008100347746631483
3051LL,6.175982096466448e-4,0.036231014108206575,0.01969309806244515,0.009228015325135905,0.002737898317156774,0.008623971484942022
3051LM,0.0015966818322145095,0.035850156051997706,0.01901959632893217,0.008934391302228964,0.0036282227157993104,0.009365053985970364
3051LN,0.0027307870731727575,0.03545944422097889,0.01829369782030043,0.00872380393975929,0.0033255451577008394,0.010263101747981456
3051LP,0.0036420875833170327,0.03503321518177466,0.017606252547668916,0.008809967419407934,0.003498788509368433,0.010921147972286724
3051LR,7.307910658655849e-4,0.037206440230743196,0.021101847061689574,0.009663040876969073,0.0010674892722499828,0.007782151104639057
3051LS,7.922511880722477e-4,0.03650822190722491,0.01983658573811091,0.008787113755120637,0.0029728210945517528,0.009055303444521538
3051LT,0.0018937405120448643,0.03610354866564678,0.019120318475473203,0.008482717543105709,0.0031467968936483817,0.009857727879176931
3051NA,0.0013662960127808553,0.03556516289136856,0.018942347466618936,0.009500564465973797,0.003372946833945152,0.008736272205524264
3051NB,7.616601104792549e-4,0.03644007844609022,0.02105997362059897,0.011595641840137717,7.616601104792549e-4,0.0058383581609116825
3051NC,7.784034766136176e-4,0.03677656859972567,0.02123422098947766,0.011121225090025482,7.784034766136176e-4,0.006313854598767892
3051ND,0.0017885176757868675,0.03547465001160535,0.020028121498037142,0.0118155979133704,0.0017885176757868675,0.0057572888082923325
3051NE,6.891661291948499e-4,0.036060063299979635,0.019793408939821795,0.00987274944492095,0.00218296055872278,0.007869340568144421
3051NG,9.11252007444828e-4,0.03582161843413425,0.019555175095031168,0.010007874261277932,0.002368794883437438,0.007823503214244836
3051NH,0.0010748277587924913,0.03565620497667437,0.019190701188046708,0.009726857477932241,0.0029326961609617537,0.00832189284495816
3051NJ,0.0010108960537713796,0.0356751807827112,0.019313760783819967,0.009910833566621376,0.002685619732238536,0.008047953949793555
3051NK,6.374744324482359e-4,0.03615381027187259,0.02000864864105472,0.010071144067142188,0.0018511874707309785,0.00757802471140127
3051NL,6.917343503546773e-4,0.03631381186491348,0.020264009454203175,0.010191140054599696,0.001530410184752208,0.007376030419593907
3051NM,0.0011716147070961191,0.035703481181610985,0.01969896869210562,0.010590506095775233,0.002013301368354767,0.007136788666180109
3051PA,0.0018490081388188662,0.03704443543535465,0.025605285844330597,0.020388574016684403,0.0018490081388188662,0.004318474642958776
3051PB,0.0014324963422490931,0.03701165833307563,0.02539194648125333,0.019959302138058358,0.0014324963422490931,0.003990597243717907
3051PC,8.850619048449469e-4,0.036043862100828314,0.024282007754445598,0.019524639859534135,8.850619048449469e-4,0.0029223160752518177
3051PD,6.663377268864665e-4,0.03590454623642464,0.023968678758600096,0.019118561620526994,6.663377268864665e-4,0.002508098937814548
